timestamp,ir_raw,red_raw,hr,spo2,status
1781009838.2298644,166008,122025,67,97,NORMAL
1781009838.4442542,167438,121714,66,97,NORMAL
1781009838.6488366,166564,121837,61,97,NORMAL
1781009838.853381,166389,122348,60,97,NORMAL
1781009839.0449142,166540,122179,60,97,NORMAL
1781009839.2588394,166146,121893,61,97,NORMAL
1781009839.463362,166008,122025,62,97,NORMAL
1781009839.6681392,168937,122507,63,97,NORMAL
1781009839.8726022,166374,122593,66,97,NORMAL
1781009840.0768487,166389,122348,68,97,NORMAL
1781009840.2677975,168131,122583,68,97,NORMAL
1781009840.4818413,167146,122309,70,97,NORMAL
1781009840.672862,166008,122025,70,97,NORMAL
1781009840.8867073,168226,122625,68,97,NORMAL
1781009841.0780258,168243,122451,68,97,NORMAL
1781009841.2790005,166389,122348,68,97,NORMAL
1781009841.4797928,168131,122583,68,97,NORMAL
1781009841.6807818,168006,122675,68,97,NORMAL
1781009841.8949566,168147,122585,69,97,NORMAL
1781009842.0861392,168226,122625,69,97,NORMAL
1781009842.2871206,168243,122451,69,97,NORMAL
1781009842.5013309,168071,122767,67,97,NORMAL
1781009842.692487,167858,122734,67,97,NORMAL
1781009842.9070566,168006,122675,65,97,NORMAL
1781009843.1116881,168106,122586,64,97,NORMAL
1781009843.316139,168095,122769,65,97,NORMAL
1781009843.5070639,168095,122665,65,97,NORMAL
1781009843.7085552,168071,122767,65,97,NORMAL
1781009843.9093425,168433,122706,65,97,NORMAL
1781009844.1236641,168784,122813,66,97,NORMAL
1781009844.3146083,168106,122586,66,97,NORMAL
1781009844.515842,168496,122863,66,97,NORMAL
1781009844.7170734,167922,122932,66,97,NORMAL
1781009844.9178433,168195,122608,66,97,NORMAL
1781009845.1186619,168433,122706,66,97,NORMAL
1781009845.3193824,168784,122813,66,97,NORMAL
1781009845.5201213,168120,122443,66,97,NORMAL
1781009845.7344766,168304,122685,65,97,NORMAL
1781009845.925714,167922,122932,65,97,NORMAL
1781009846.1267278,168710,122446,65,97,NORMAL
1781009846.3281093,168462,122567,65,97,NORMAL
1781009846.5285273,168979,122450,65,97,NORMAL
1781009846.7295148,168120,122443,65,97,NORMAL
1781009846.9303339,168304,122685,65,97,NORMAL
1781009847.131223,168516,122714,65,97,NORMAL
1781009847.3318286,168434,122766,65,97,NORMAL
1781009847.5330098,168462,122567,65,97,NORMAL
1781009847.733551,168979,122450,65,97,NORMAL
1781009847.9342482,168657,122761,65,97,NORMAL
1781009848.1352131,169135,122749,65,97,NORMAL
1781009848.3499434,168516,122714,63,97,NORMAL
1781009848.553829,168434,122766,70,97,NORMAL
1781009848.7579587,171065,123139,75,97,NORMAL
1781009848.9489224,168924,122668,75,97,NORMAL
1781009849.1504343,168657,122761,75,97,NORMAL
1781009849.3515542,172831,123980,75,97,NORMAL
1781009849.5520945,172372,124334,75,97,NORMAL
1781009849.7529209,171932,122885,75,97,NORMAL
1781009849.9536154,171065,123139,75,97,NORMAL
1781009850.168017,169689,123650,71,97,NORMAL
1781009850.3724449,169142,123031,66,97,NORMAL
1781009850.5637226,172831,123980,66,97,NORMAL
1781009850.7781549,172372,124334,71,97,NORMAL
1781009850.969603,169638,122692,71,97,NORMAL
1781009851.1839976,169162,122698,65,97,NORMAL
1781009851.375529,169689,122918,65,97,NORMAL
1781009851.5900261,169599,122568,63,97,NORMAL
1781009851.781254,169298,122521,63,97,NORMAL
1781009851.9821997,169179,122713,63,97,NORMAL
1781009852.196323,169638,122692,64,97,NORMAL
1781009852.3875463,169458,122454,64,97,NORMAL
1781009852.6018896,169564,122651,65,97,NORMAL
1781009852.7930117,169599,122568,65,97,NORMAL
1781009852.994226,169617,122470,65,97,NORMAL
1781009853.2083867,169366,122843,61,97,NORMAL
1781009853.3996403,169131,122517,61,97,NORMAL
1781009853.6140778,169458,122454,63,97,NORMAL
1781009853.8054574,168738,123021,63,97,NORMAL
1781009854.006436,168546,123078,63,97,NORMAL
1781009854.2074456,169617,122470,63,97,NORMAL
1781009854.4214149,169366,122843,64,97,NORMAL
1781009854.6127841,169764,123512,64,97,NORMAL
1781009854.8277204,170583,123407,65,97,NORMAL
1781009855.0325673,168738,123021,69,97,NORMAL
1781009855.2370515,170055,123597,72,97,NORMAL
1781009855.441407,170437,123528,69,97,NORMAL
1781009855.6459384,169039,123437,66,97,NORMAL
1781009855.8371813,170370,123788,66,97,NORMAL
1781009856.0515378,171049,123890,68,97,NORMAL
1781009856.2559657,170242,123593,66,97,NORMAL
1781009856.4604375,172186,124170,65,97,NORMAL
1781009856.6516376,172283,123988,65,97,NORMAL
1781009856.853032,170156,123853,65,97,NORMAL
1781009857.0534294,170370,123788,65,97,NORMAL
1781009857.2546256,170054,124162,65,97,NORMAL
1781009857.4553802,170283,123594,65,97,NORMAL
1781009857.655676,172186,124170,65,97,NORMAL
